id,date,icu_level,region,lhin,critical_care_beds,critical_care_patients,vented_beds,vented_patients,suspected_covid,suspected_covid_ventilator,confirmed_positive,confirmed_negative,confirmed_positive_ventilator
36,2020-03-28,Level 3,West,1. ESC,73,50,71,32,21,14,8,1,8
37,2020-03-28,Level 3,West,2. SW,105,73,96,25,19,9,8,7,6
38,2020-03-28,Level 3,West,3. WW,64,55,58,27,20,11,7,4,5
39,2020-03-28,Level 3,West,4. HNHB,159,108,151,56,23,10,6,13,4
40,2020-03-28,Level 3,Central,5. CW,46,27,26,18,5,4,2,1,1
41,2020-03-28,Level 3,Central,6. MH,114,106,110,55,34,22,3,3,2
42,2020-03-28,Level 3,Central,8. Central,130,113,130,67,32,19,14,5,13
43,2020-03-28,Level 3,Central,12. NSM,43,30,26,2,8,1,2,4,0
44,2020-03-28,Level 3,Toronto,7. TC,275,207,260,74,43,21,12,19,4
45,2020-03-28,Level 3,East,9. CE,119,100,100,68,30,24,16,3,13
46,2020-03-28,Level 3,East,10. SE,73,61,57,27,10,7,2,2,2
47,2020-03-28,Level 3,East,11. Champlain,136,96,119,47,28,15,8,5,4
48,2020-03-28,Level 3,North,13. NE,58,34,46,9,5,0,0,0,0
49,2020-03-28,Level 3,North,14. NW,22,17,13,6,1,1,0,0,0
50,2020-03-28,Level 3,West,1. ESC,14,13,2,0,6,0,0,0,0
51,2020-03-28,Level 3,West,2. SW,82,72,2,0,4,0,1,4,0
52,2020-03-28,Level 3,West,3. WW,34,19,0,0,3,0,0,1,0
53,2020-03-28,Level 3,West,4. HNHB,112,104,21,9,9,2,0,17,0
54,2020-03-28,Level 2,Central,5. CW,22,5,0,0,1,0,0,0,0
55,2020-03-28,Level 2,Central,6. MH,16,14,6,0,0,0,0,0,0
56,2020-03-28,Level 2,Central,8. Central,23,12,0,0,0,0,0,0,0
57,2020-03-28,Level 2,Central,12. NSM,5,2,0,0,0,0,0,0,0
58,2020-03-28,Level 2,Toronto,7. TC,98,79,6,6,14,3,2,10,2
59,2020-03-28,Level 2,East,9. CE,44,30,9,2,5,1,0,0,0
60,2020-03-28,Level 2,East,10. SE,30,30,0,0,2,0,0,0,0
61,2020-03-28,Level 2,East,11. Champlain,63,46,0,0,11,0,1,1,0
62,2020-03-28,Level 2,North,13. NE,44,29,7,0,8,0,0,0,0
63,2020-03-28,Level 2,North,14. NW,8,2,3,0,0,0,0,0,0
64,2020-03-29,Level 3,West,1. ESC,73,57,71,27,24,15,8,1,5
65,2020-03-29,Level 3,West,2. SW,105,72,96,23,21,9,7,7,6
66,2020-03-29,Level 3,West,3. WW,64,56,58,27,20,13,8,5,7
67,2020-03-29,Level 3,West,4. HNHB,159,102,151,32,20,4,11,12,3
68,2020-03-29,Level 3,Central,5. CW,46,27,26,20,6,4,2,1,1
69,2020-03-29,Level 3,Central,6. MH,114,104,110,47,37,20,3,3,1
70,2020-03-29,Level 3,Central,8. Central,130,113,130,66,35,21,14,5,13
71,2020-03-29,Level 3,Central,12. NSM,43,23,26,1,8,0,1,4,0
72,2020-03-29,Level 3,Toronto,7. TC,275,208,260,48,43,14,14,19,4
73,2020-03-29,Level 3,East,9. CE,119,111,100,74,33,26,20,2,14
74,2020-03-29,Level 3,East,10. SE,73,62,57,26,11,6,3,2,2
75,2020-03-29,Level 3,East,11. Champlain,136,91,119,21,28,8,4,6,3
76,2020-03-29,Level 3,North,13. NE,58,36,46,6,8,3,0,0,0
77,2020-03-29,Level 3,North,14. NW,22,21,13,6,3,2,0,1,0
82,2020-03-29,Level 2,Central,5. CW,22,7,0,0,1,0,0,0,0
83,2020-03-29,Level 2,Central,6. MH,16,16,6,0,0,0,0,0,0
84,2020-03-29,Level 2,Central,8. Central,23,13,0,0,0,0,1,0,0
85,2020-03-29,Level 2,Central,12. NSM,5,1,0,0,0,0,0,0,0
86,2020-03-29,Level 2,Toronto,7. TC,98,69,6,5,11,2,2,10,2
87,2020-03-29,Level 2,East,9. CE,44,27,9,3,4,1,0,0,0
88,2020-03-29,Level 2,East,10. SE,30,27,0,0,2,0,0,1,0
89,2020-03-29,Level 2,East,11. Champlain,63,49,0,1,11,0,0,1,0
90,2020-03-29,Level 2,North,13. NE,44,26,7,0,6,0,0,0,0
91,2020-03-29,Level 2,North,14. NW,8,2,3,0,0,0,0,0,0
106,2020-03-30,,West,1. ESC,87,75,73,28,32,12,8,1,5
107,2020-03-30,,West,2. SW,187,152,98,25,25,8,9,14,4
108,2020-03-30,,West,3. WW,98,73,58,31,22,10,10,10,9
109,2020-03-30,,West,4. HNHB,271,205,172,45,29,9,11,27,4
110,2020-03-30,,Central,5. CW,68,44,26,23,11,7,5,3,2
111,2020-03-30,,Central,6. MH,130,121,116,49,30,16,11,1,7
78,2020-03-29,Level 2,West,1. ESC,14,8,2,0,4,0,0,0,0
79,2020-03-29,Level 2,West,2. SW,82,71,2,0,8,0,1,3,0
80,2020-03-29,Level 2,West,3. WW,34,19,0,0,0,0,0,4,0
81,2020-03-29,Level 2,West,4. HNHB,112,94,21,8,5,2,0,17,0
112,2020-03-30,,Central,8. Central,153,130,130,85,33,25,20,7,19
113,2020-03-30,,Central,12. NSM,48,29,26,8,9,3,1,6,1
114,2020-03-30,,Toronto,7. TC,373,276,266,80,51,21,21,33,10
115,2020-03-30,,East,9. CE,163,137,109,79,40,27,21,5,16
116,2020-03-30,,East,10. SE,103,91,57,29,15,9,3,2,2
117,2020-03-30,,East,11. Champlain,199,150,119,22,38,6,5,11,3
118,2020-03-30,,North,13. NE,102,60,53,11,15,4,0,0,0
119,2020-03-30,,North,14. NW,30,16,16,7,3,2,0,0,0
134,2020-04-01,,West,1. ESC,87,63,73,23,27,14,10,2,3
135,2020-04-01,,West,2. SW,187,144,98,38,24,8,14,13,9
