province_state,country_region,last_update,lat,long,confirmed,deaths,recovered,active,fips,incident_rate,people_tested,people_hospitalized,mortality_rate,uid,iso3,testing_rate,hospitalization_rate
Alabama,US,2020-04-29 12:32:29,32.3182,-86.9023,6750,242,,6508,1,143.957096946254,75827,911,3.58518518518519,84000001,USA,1617.16070965091,13.4962962962963
Alaska,US,2020-04-29 12:32:29,61.3707,-152.4044,351,9,228,342,2,58.7202989883714,17089,,2.56410256410256,84000002,USA,2858.89227752786,
American Samoa,US,2020-04-29 12:32:29,-14.271,-170.132,0,0,,,60,0,3,,,16,ASM,5.39170755378228,
Arizona,US,2020-04-29 12:32:29,33.7298,-111.4312,6955,275,1450,6680,4,95.5525541108412,67438,1095,3.95398993529835,84000004,USA,926.509438407895,15.7440690150971
Arkansas,US,2020-04-29 12:32:29,34.9697,-92.3731,3127,57,1146,3070,5,120.778964452669,40671,,1.82283338663256,84000005,USA,1570.89902886297,
California,US,2020-04-29 12:32:29,36.1162,-119.6816,46164,1864,,44300,6,117.739415465273,577608,,4.03777835542847,84000006,USA,1473.16584975447,
Colorado,US,2020-04-29 12:32:29,39.0598,-105.3111,14316,736,2275,13580,8,252.628770351166,66341,2485,5.14110086616373,84000008,USA,1170.69329797895,17.3582006146968
Connecticut,US,2020-04-29 12:32:29,41.5978,-72.7554,26312,2087,,24225,9,738.005103095487,92745,,7.93174217087261,84000009,USA,2601.33335689385,
Delaware,US,2020-04-29 12:32:29,39.3185,-75.5071,4575,137,1096,4438,10,469.826364498996,21180,,2.99453551912568,84000010,USA,2175.06500548387,
Diamond Princess,US,2020-04-29 12:32:29,,,49,0,0,49,88888,,,,0,84088888,USA,,
District of Columbia,US,2020-04-29 12:32:29,38.8974,-77.0268,3994,190,660,3804,11,565.923579062811,18885,,4.75713570355533,84000011,USA,2675.88051842794,
Florida,US,2020-04-29 12:32:29,27.7663,-81.6868,32848,1171,,31677,12,154.705456315631,366875,5266,3.56490501704822,84000012,USA,1727.88493320132,16.0314174378958
Georgia,US,2020-04-29 12:32:29,33.0406,-83.6431,24923,1036,,23887,13,245.803668917853,140020,4814,4.15680295309553,84000013,USA,1380.95051646583,19.3154917144806
Grand Princess,US,2020-04-29 12:32:29,,,103,3,0,100,99999,,,,2.9126213592233,84099999,USA,,
Guam,US,2020-04-29 12:32:29,13.4443,144.7937,141,5,129,136,66,85.8557258462269,1683,,3.54609929078014,316,GUM,1024.78855744113,
Hawaii,US,2020-04-29 12:32:29,21.0943,-157.4983,609,16,493,593,15,43.0149754270773,29183,68,2.62725779967159,84000015,USA,2061.25784546535,11.1658456486043
Idaho,US,2020-04-29 12:32:29,44.2405,-114.4788,1952,60,1039,1892,16,121.204820623696,20052,172,3.07377049180328,84000016,USA,1245.0814872676,8.81147540983607
Illinois,US,2020-04-29 12:32:29,40.3495,-88.9861,48102,2125,,45977,17,409.879194621722,242189,,4.41769572990728,84000017,USA,2063.70280375536,
Indiana,US,2020-04-29 12:32:29,39.8494,-86.2583,16588,901,,15687,18,253.484339991754,87181,,5.43163732818905,84000018,USA,1332.22921659158,
Iowa,US,2020-04-29 12:32:29,42.0115,-93.2105,6376,136,2164,6240,19,243.292569617505,39823,,2.13299874529486,84000019,USA,1519.5483061289,
Kansas,US,2020-04-29 12:32:29,38.5266,-96.7265,3652,127,,3525,20,149.764936304792,28090,504,3.47754654983571,84000020,USA,1151.94333537832,13.8006571741511
Kentucky,US,2020-04-29 12:32:29,37.6681,-84.6701,4375,225,1521,4150,21,127.80054818402,48799,1281,5.14285714285714,84000021,USA,1425.49461733303,29.28
Louisiana,US,2020-04-29 12:32:29,31.1695,-91.8678,27286,1801,17303,25485,22,593.526674332092,151108,,6.60045444550319,84000022,USA,3286.91008960543,
Maine,US,2020-04-29 12:32:29,44.6939,-69.3819,1040,51,585,989,23,88.5855779271997,17824,163,4.90384615384615,84000023,USA,1518.2205201677,15.6730769230769
Maryland,US,2020-04-29 12:32:29,39.0639,-76.8021,20113,1016,1295,19097,24,338.412692537102,107785,4268,5.05145925520807,84000024,USA,1813.54407920805,21.2201063988465
Massachusetts,US,2020-04-29 12:32:29,42.2302,-71.5301,58302,3153,,55149,25,849.416326766099,254500,5515,5.40804775136359,84000025,USA,3707.87374638901,9.45936674556619
Michigan,US,2020-04-29 12:32:29,43.3266,-84.5361,39262,3568,8342,35694,26,492.791812089955,164805,,9.08766746472416,84000026,USA,2068.52821026654,
Minnesota,US,2020-04-29 12:32:29,45.6945,-93.9002,4181,301,1912,3880,27,84.5253339468378,63829,912,7.19923463286295,84000027,USA,1290.40122948881,21.8129634058838
Mississippi,US,2020-04-29 12:32:29,32.7416,-89.6787,6342,239,,6103,28,219.051770409429,64412,1088,3.76852727846105,84000028,USA,2224.78124181837,17.1554714601072
Missouri,US,2020-04-29 12:32:29,38.4561,-92.2884,7450,330,,7120,29,127.144909015444,73503,,4.42953020134228,84000029,USA,1254.43385870634,
Montana,US,2020-04-29 12:32:29,46.9219,-110.4544,451,15,356,436,30,52.0793037308874,13191,61,3.32594235033259,84000030,USA,1523.23302774753,13.5254988913525
Nebraska,US,2020-04-29 12:32:29,41.1254,-98.2681,3517,56,,3461,31,230.581824094325,23605,,1.59226613591129,84000031,USA,1547.59282278833,
Nevada,US,2020-04-29 12:32:29,38.3135,-117.0554,4821,219,,4602,32,159.810547761343,40119,,4.542626011201,84000032,USA,1329.89822975261,
New Hampshire,US,2020-04-29 12:32:29,43.4525,-71.5639,2010,60,798,1950,33,151.338555642895,20145,246,2.98507462686567,84000033,USA,1516.77373304782,12.2388059701493
New Jersey,US,2020-04-29 12:32:29,40.2989,-74.521,113856,6442,15642,107414,34,1281.84603121527,234359,,5.65802417088252,84000034,USA,2638.52721006869,
New Mexico,US,2020-04-29 12:32:29,34.8405,-106.2485,2974,105,666,2869,35,178.347295076019,58803,481,3.5305985205111,84000035,USA,3526.34700482689,16.1735036987223
New York,US,2020-04-29 12:32:29,42.1657,-74.9481,295106,22912,51630,272194,36,1750.22574250379,844994,64275,7.76398988837909,84000036,USA,5011.52213462705,21.7803094481305
North Carolina,US,2020-04-29 12:32:29,35.6301,-79.8064,9755,363,,9392,37,98.3577631297027,112752,,3.72116863147104,84000037,USA,1136.85643345979,
North Dakota,US,2020-04-29 12:32:29,47.5289,-99.784,991,19,409,972,38,163.41863203269,23723,79,1.91725529767911,84000038,USA,3911.98810061707,7.97174571140262
Northern Mariana Islands,US,2020-04-29 12:32:29,15.0979,145.6739,14,2,12,12,69,25.3880748585522,65,,14.2857142857143,580,MNP,117.873204700421,
Ohio,US,2020-04-29 12:32:29,40.3888,-82.7649,16769,799,,15970,39,150.073475056963,122706,3340,4.76474446896058,84000039,USA,1098.15229473074,19.9177052895223
Oklahoma,US,2020-04-29 12:32:29,35.5653,-96.9289,3410,207,2260,3203,40,93.2296670470583,59699,656,6.07038123167155,84000040,USA,1632.17533520303,19.2375366568915
Oregon,US,2020-04-29 12:32:29,44.572,-122.0709,2385,99,,2286,41,59.5197393409755,51198,554,4.15094339622642,84000041,USA,1277.69040451961,23.2285115303983
Pennsylvania,US,2020-04-29 12:32:29,40.5908,-77.2098,45137,2046,,43091,42,358.585984171436,209088,,4.53286660611029,84000042,USA,1661.07686063401,
Puerto Rico,US,2020-04-29 12:32:29,18.2208,-66.5901,1400,86,,1314,72,47.726057882163,10713,,6.14285714285714,630,PRI,365.20661292258,
Rhode Island,US,2020-04-29 12:32:29,41.6809,-71.5118,7927,239,466,7688,44,748.281275221572,57693,732,3.01501198435726,84000044,USA,5446.01887364175,9.23426264665069
South Carolina,US,2020-04-29 12:32:29,33.8569,-80.945,5735,192,2830,5543,45,113.790246975431,52145,944,3.34786399302528,84000045,USA,1034.62814795708,16.460331299041
South Dakota,US,2020-04-29 12:32:29,44.2998,-99.4388,2313,11,1392,2302,46,314.312426279943,16612,157,0.475572849113705,84000046,USA,2257.39646578574,6.78772157371379
Tennessee,US,2020-04-29 12:32:29,35.7478,-86.6923,10052,188,4921,9864,47,153.11665975367,161928,894,1.87027457222443,84000047,USA,2466.56132914766,8.89375248706725
Texas,US,2020-04-29 12:32:29,31.0545,-97.5635,26357,719,11786,25638,48,114.672627421511,300384,,2.72792806465076,84000048,USA,1306.89465854928,
Utah,US,2020-04-29 12:32:29,40.15,-111.8624,4345,41,1704,4304,49,151.611266618793,102439,370,0.94361334867664,84000049,USA,3574.43188519276,8.51553509781358
Vermont,US,2020-04-29 12:32:29,44.0459,-72.7107,862,47,,815,50,141.17469795657,15215,,5.45243619489559,84000050,USA,2491.84806195964,
Virgin Islands,US,2020-04-29 12:32:29,18.3358,-64.8963,57,4,51,53,78,53.1379348920461,778,,7.01754385964912,850,VIR,725.28619905284,
Virginia,US,2020-04-29 12:32:29,37.7693,-78.17,14339,492,1914,13847,51,181.340368245264,82753,3422,3.43120161796499,84000051,USA,1046.54853848946,23.8649836111305
Washington,US,2020-04-29 12:32:29,47.4009,-121.4905,13842,786,,13056,53,183.352246528633,179679,,5.67837017771998,84000053,USA,2380.04250137395,
West Virginia,US,2020-04-29 12:32:29,38.4912,-80.9545,1095,38,481,1057,54,82.7665650288209,43055,,3.4703196347032,84000054,USA,3254.35110257158,
Wisconsin,US,2020-04-29 12:32:29,44.2685,-89.6165,6289,300,,5989,55,121.536645260061,69824,1456,4.77023374145333,84000055,USA,1349.36789929059,23.1515344251868
Wyoming,US,2020-04-29 12:32:29,42.756,-107.3025,536,7,343,529,56,107.795028557638,8615,56,1.30597014925373,84000056,USA,1732.56375191055,10.4477611940299
Alberta,Canada,2020-04-29 12:32:29,53.9333,-116.5765,4850,80,0,4770,,109.898924712665,,,1.64948453608247,12401,CAN,,
Anguilla,United Kingdom,2020-04-29 12:32:29,18.2206,-63.0686,3,0,3,0,,19.9973336888415,,,0,660,AIA,,
Anhui,China,2020-04-29 12:32:29,31.8257,117.2264,991,6,985,0,,1.56704617330803,,,0.605449041372351,15601,CHN,,
Aruba,Netherlands,2020-04-29 12:32:29,12.5211,-69.9683,100,2,73,25,,93.6627765393477,,,2,533,ABW,,
Australian Capital Territory,Australia,2020-04-29 12:32:29,-35.4735,149.0124,106,3,101,2,,24.7605699602897,,,2.83018867924528,3601,AUS,,
Beijing,China,2020-04-29 12:32:29,40.1824,116.4142,593,9,538,46,,2.75301764159703,,,1.5177065767285,15602,CHN,,
Bermuda,United Kingdom,2020-04-29 12:32:29,32.3078,-64.7505,110,6,44,60,,176.641562153742,,,5.45454545454545,60,BMU,,
"Bonaire, Sint Eustatius and Saba",Netherlands,2020-04-29 12:32:29,12.1784,-68.2385,5,0,0,5,,19.0686854048282,,,0,535,BES,,
British Columbia,Canada,2020-04-29 12:32:29,53.7267,-127.6476,2053,106,0,1947,,40.1689168499508,,,5.1631758402338,12402,CAN,,
British Virgin Islands,United Kingdom,2020-04-29 12:32:29,18.4207,-64.64,6,1,3,2,,19.8432384165096,,,16.6666666666667,92,VGB,,
Cayman Islands,United Kingdom,2020-04-29 12:32:29,19.3133,-81.2546,70,1,10,59,,106.512477175898,,,1.42857142857143,136,CYM,,
Channel Islands,United Kingdom,2020-04-29 12:32:29,49.3723,-2.3644,530,36,352,142,,310.852263063126,,,6.79245283018868,8261,GBR,,
Chongqing,China,2020-04-29 12:32:29,30.0572,107.874,579,6,573,0,,1.86653771760155,,,1.03626943005181,15603,CHN,,
Curacao,Netherlands,2020-04-29 12:32:29,12.1696,-68.99,16,1,11,4,,9.75015234613041,,,6.25,531,CUW,,
Falkland Islands (Malvinas),United Kingdom,2020-04-29 12:32:29,-51.7963,-59.5236,13,0,11,2,,373.241458512776,,,0,238,FLK,,
Faroe Islands,Denmark,2020-04-29 12:32:29,61.8926,-6.9118,187,0,181,6,,382.686994781541,,,0,234,FRO,,
French Guiana,France,2020-04-29 12:32:29,4,-53,125,1,93,31,,41.8505299951119,,,0.8,254,GUF,,
French Polynesia,France,2020-04-29 12:32:29,-17.6797,-149.4068,58,0,49,9,,20.6476233873494,,,0,258,PYF,,
Fujian,China,2020-04-29 12:32:29,26.0789,117.9874,355,1,352,2,,0.900786602385181,,,0.28169014084507,15604,CHN,,
Gansu,China,2020-04-29 12:32:29,37.8099,101.0583,139,2,137,0,,0.527114144861585,,,1.43884892086331,15605,CHN,,
Gibraltar,United Kingdom,2020-04-29 12:32:29,36.1408,-5.3536,141,0,131,10,,418.509394200231,,,0,292,GIB,,
Greenland,Denmark,2020-04-29 12:32:29,71.7069,-42.6043,11,0,11,0,,19.375748608469,,,0,304,GRL,,
Guadeloupe,France,2020-04-29 12:32:29,16.265,-61.551,149,12,82,55,,37.238176878841,,,8.05369127516779,312,GLP,,
Guangdong,China,2020-04-29 12:32:29,23.3417,113.4244,1588,8,1554,26,,1.3996121981315,,,0.503778337531486,15606,CHN,,
Guangxi,China,2020-04-29 12:32:29,23.8298,108.7881,254,2,252,0,,0.515631343889566,,,0.78740157480315,15607,CHN,,
Guizhou,China,2020-04-29 12:32:29,26.8154,106.8748,147,2,145,0,,0.408333333333333,,,1.36054421768707,15608,CHN,,
Hainan,China,2020-04-29 12:32:29,19.1959,109.7453,168,6,162,0,,1.79871520342612,,,3.57142857142857,15609,CHN,,
