province_state,country_region,last_update,lat,long,confirmed,deaths,recovered,active,admin2,fips,combined_key,incident_rate,people_tested,people_hospitalized,uid,iso3
South Carolina,US,2020-04-29 12:32:25,34.22333378,-82.46170658,29,0,0,29,Abbeville,45001,"Abbeville, South Carolina, US",118.237044889306,,,84045001,USA
Louisiana,US,2020-04-29 12:32:25,30.2950649,-92.41419698,130,9,0,121,Acadia,22001,"Acadia, Louisiana, US",209.525344508018,,,84022001,USA
Virginia,US,2020-04-29 12:32:25,37.76707161,-75.63234615,223,4,0,219,Accomack,51001,"Accomack, Virginia, US",690.060651070677,,,84051001,USA
Idaho,US,2020-04-29 12:32:25,43.4526575,-116.2415516,662,16,0,646,Ada,16001,"Ada, Idaho, US",137.46218232635,,,84016001,USA
Iowa,US,2020-04-29 12:32:25,41.33075609,-94.47105874,1,0,0,1,Adair,19001,"Adair, Iowa, US",13.9821029082774,,,84019001,USA
Kentucky,US,2020-04-29 12:32:25,37.10459774,-85.28129668,79,10,0,69,Adair,21001,"Adair, Kentucky, US",411.415477554421,,,84021001,USA
Missouri,US,2020-04-29 12:32:25,40.19058551,-92.60078167,12,0,0,12,Adair,29001,"Adair, Missouri, US",47.3503531547173,,,84029001,USA
Oklahoma,US,2020-04-29 12:32:25,35.88494195,-94.65859267,64,3,0,61,Adair,40001,"Adair, Oklahoma, US",288.366225105884,,,84040001,USA
Colorado,US,2020-04-29 12:32:25,39.87432092,-104.3362578,1430,61,0,1369,Adams,8001,"Adams, Colorado, US",276.370692337574,,,84008001,USA
Idaho,US,2020-04-29 12:32:25,44.89333571,-116.4545247,3,0,0,3,Adams,16003,"Adams, Idaho, US",69.8649278062413,,,84016003,USA
Illinois,US,2020-04-29 12:32:25,39.98815591,-91.18786813,40,0,0,40,Adams,17001,"Adams, Illinois, US",61.1293650187209,,,84017001,USA
Indiana,US,2020-04-29 12:32:25,40.7457653,-84.93671406,7,1,0,6,Adams,18001,"Adams, Indiana, US",19.5656427313637,,,84018001,USA
Mississippi,US,2020-04-29 12:32:25,31.47669768,-91.35326037,123,8,0,115,Adams,28001,"Adams, Mississippi, US",400.742840387059,,,84028001,USA
Nebraska,US,2020-04-29 12:32:25,40.5244942,-98.50117804,143,2,0,141,Adams,31001,"Adams, Nebraska, US",455.951280170902,,,84031001,USA
Ohio,US,2020-04-29 12:32:25,38.84541072,-83.4718964,4,0,0,4,Adams,39001,"Adams, Ohio, US",14.4414759188389,,,84039001,USA
Pennsylvania,US,2020-04-29 12:32:25,39.87140411,-77.21610347,124,1,0,123,Adams,42001,"Adams, Pennsylvania, US",120.377831063305,,,84042001,USA
Washington,US,2020-04-29 12:32:25,46.98299757,-118.5601734,46,0,0,46,Adams,53001,"Adams, Washington, US",230.195666316369,,,84053001,USA
Wisconsin,US,2020-04-29 12:32:25,43.96974651,-89.76782777,4,1,0,3,Adams,55001,"Adams, Wisconsin, US",19.782393669634,,,84055001,USA
Vermont,US,2020-04-29 12:32:25,44.03217337,-73.14130877,61,2,0,59,Addison,50001,"Addison, Vermont, US",165.86453489953,,,84050001,USA
South Carolina,US,2020-04-29 12:32:25,33.54338026,-81.63645384,94,6,0,88,Aiken,45003,"Aiken, South Carolina, US",55.011938761178,,,84045003,USA
Minnesota,US,2020-04-29 12:32:25,46.60962049,-93.4116826,1,0,0,1,Aitkin,27001,"Aitkin, Minnesota, US",6.29485081203575,,,84027001,USA
Florida,US,2020-04-29 12:32:25,29.67866525,-82.35928158,255,2,0,253,Alachua,12001,"Alachua, Florida, US",94.7803882650729,,,84012001,USA
North Carolina,US,2020-04-29 12:32:25,36.0434701,-79.39976137,94,1,0,93,Alamance,37001,"Alamance, North Carolina, US",55.4542826634574,,,84037001,USA
California,US,2020-04-29 12:32:25,37.64629437,-121.8929271,1533,55,0,1478,Alameda,6001,"Alameda, California, US",91.7234129246845,,,84006001,USA
Colorado,US,2020-04-29 12:32:25,37.57250606,-105.7885451,10,2,0,8,Alamosa,8003,"Alamosa, Colorado, US",61.6029076572414,,,84008003,USA
New York,US,2020-04-29 12:32:25,42.60060306,-73.97723916,1009,36,0,973,Albany,36001,"Albany, New York, US",330.271745890424,,,84036001,USA
Wyoming,US,2020-04-29 12:32:25,41.65498705,-105.7235415,8,0,0,8,Albany,56001,"Albany, Wyoming, US",20.5761316872428,,,84056001,USA
Virginia,US,2020-04-29 12:32:25,38.02080697,-78.55481085,80,4,0,76,Albemarle,51003,"Albemarle, Virginia, US",73.1729625903229,,,84051003,USA
Michigan,US,2020-04-29 12:32:25,44.6846864,-83.59507875,4,0,0,4,Alcona,26001,"Alcona, Michigan, US",38.4430562229697,,,84026001,USA
Mississippi,US,2020-04-29 12:32:25,34.88084463,-88.57996173,10,0,0,10,Alcorn,28003,"Alcorn, Mississippi, US",27.0614023218683,,,84028003,USA
Illinois,US,2020-04-29 12:32:25,37.18049267,-89.32910838,3,0,0,3,Alexander,17003,"Alexander, Illinois, US",52.0742926575247,,,84017003,USA
North Carolina,US,2020-04-29 12:32:25,35.9223796,-81.17751948,4,0,0,4,Alexander,37003,"Alexander, North Carolina, US",10.6675200682721,,,84037003,USA
Virginia,US,2020-04-29 12:32:25,38.814003,-77.08183073,653,20,0,633,Alexandria,51510,"Alexandria, Virginia, US",409.589281682013,,,84051510,USA
Oklahoma,US,2020-04-29 12:32:25,36.73090616,-98.32408495,1,0,0,1,Alfalfa,40003,"Alfalfa, Oklahoma, US",17.5377060680463,,,84040003,USA
Iowa,US,2020-04-29 12:32:25,43.28383218,-91.37860922,86,3,0,83,Allamakee,19005,"Allamakee, Iowa, US",628.333455103383,,,84019005,USA
Michigan,US,2020-04-29 12:32:25,42.59147037,-85.89102866,84,1,0,83,Allegan,26005,"Allegan, Michigan, US",71.1376089294637,,,84026005,USA
Maryland,US,2020-04-29 12:32:25,39.62357628,-78.69280486,115,5,0,110,Allegany,24001,"Allegany, Maryland, US",163.315155646444,,,84024001,USA
New York,US,2020-04-29 12:32:25,42.25748406,-78.02750466,35,2,0,33,Allegany,36003,"Allegany, New York, US",75.9367338525959,,,84036003,USA
North Carolina,US,2020-04-29 12:32:25,36.49360862,-81.12857041,2,0,0,2,Alleghany,37005,"Alleghany, North Carolina, US",17.9581574930412,,,84037005,USA
Virginia,US,2020-04-29 12:32:25,37.78636074,-80.00222498,5,0,0,5,Alleghany,51005,"Alleghany, Virginia, US",33.6473755047106,,,84051005,USA
Pennsylvania,US,2020-04-29 12:32:25,40.46809875,-79.98167747,1235,87,0,1148,Allegheny,42003,"Allegheny, Pennsylvania, US",101.558741658409,,,84042003,USA
Indiana,US,2020-04-29 12:32:25,41.09194313,-85.06800636,504,37,0,467,Allen,18003,"Allen, Indiana, US",132.876701494072,,,84018003,USA
Kentucky,US,2020-04-29 12:32:25,36.75197631,-86.19457544,9,0,0,9,Allen,21003,"Allen, Kentucky, US",42.2237860661506,,,84021003,USA
Louisiana,US,2020-04-29 12:32:25,30.65385745,-92.82442028,90,9,0,81,Allen,22003,"Allen, Louisiana, US",351.192102079838,,,84022003,USA
Ohio,US,2020-04-29 12:32:25,40.77285242,-84.10802343,103,19,0,84,Allen,39003,"Allen, Ohio, US",100.634092485662,,,84039003,USA
South Carolina,US,2020-04-29 12:32:25,32.98837386,-81.35321066,10,1,0,9,Allendale,45005,"Allendale, South Carolina, US",115.101289134438,,,84045005,USA
Michigan,US,2020-04-29 12:32:25,45.03477666,-83.62212411,67,4,0,63,Alpena,26007,"Alpena, Michigan, US",235.873965851083,,,84026007,USA
California,US,2020-04-29 12:32:25,38.59678594,-119.8223594,2,0,0,2,Alpine,6003,"Alpine, California, US",177.147918511957,,,84006003,USA
California,US,2020-04-29 12:32:25,38.44583082,-120.65696,8,0,0,8,Amador,6005,"Amador, California, US",20.124773596297,,,84006005,USA
Virginia,US,2020-04-29 12:32:25,37.34081025,-77.98584649,15,1,0,14,Amelia,51007,"Amelia, Virginia, US",114.111829593001,,,84051007,USA
Virginia,US,2020-04-29 12:32:25,37.60308293,-79.14548696,9,0,0,9,Amherst,51009,"Amherst, Virginia, US",28.4765068818225,,,84051009,USA
Mississippi,US,2020-04-29 12:32:25,31.17467303,-90.80501621,26,0,0,26,Amite,28005,"Amite, Mississippi, US",211.433683012117,,,84028005,USA
Alaska,US,2020-04-29 12:32:25,61.14998174,-149.1426986,175,4,0,171,Anchorage,2020,"Anchorage, Alaska, US",60.7638888888889,,,84002020,USA
Kansas,US,2020-04-29 12:32:25,38.21413251,-95.29272815,0,0,0,0,Anderson,20003,"Anderson, Kansas, US",0,,,84020003,USA
Kentucky,US,2020-04-29 12:32:25,38.00671029,-84.99171713,8,1,0,7,Anderson,21005,"Anderson, Kentucky, US",35.1694728975249,,,84021005,USA
South Carolina,US,2020-04-29 12:32:25,34.51828081,-82.63959517,152,6,0,146,Anderson,45007,"Anderson, South Carolina, US",75.04023538937,,,84045007,USA
Tennessee,US,2020-04-29 12:32:25,36.12684348,-84.19965764,24,1,0,23,Anderson,47001,"Anderson, Tennessee, US",31.1777390942867,,,84047001,USA
Texas,US,2020-04-29 12:32:25,31.81534745,-95.65354823,26,0,0,26,Anderson,48001,"Anderson, Texas, US",45.0333419935914,,,84048001,USA
Missouri,US,2020-04-29 12:32:25,39.98492163,-94.80163024,2,0,0,2,Andrew,29003,"Andrew, Missouri, US",11.2917795844625,,,84029003,USA
Texas,US,2020-04-29 12:32:25,32.30468633,-102.6376548,19,0,0,19,Andrews,48003,"Andrews, Texas, US",101.577118417535,,,84048003,USA
Maine,US,2020-04-29 12:32:25,44.1664747,-70.20380627,42,2,0,40,Androscoggin,23001,"Androscoggin, Maine, US",38.7894012578849,,,84023001,USA
Texas,US,2020-04-29 12:32:25,31.25457347,-94.60901487,46,0,0,46,Angelina,48005,"Angelina, Texas, US",53.0473389840281,,,84048005,USA
Maryland,US,2020-04-29 12:32:25,39.00670238,-76.60329337,1571,78,0,1493,Anne Arundel,24003,"Anne Arundel, Maryland, US",271.220266766108,,,84024003,USA
Minnesota,US,2020-04-29 12:32:25,45.27476015,-93.24604565,186,8,0,178,Anoka,27003,"Anoka, Minnesota, US",52.1123722056141,,,84027003,USA
North Carolina,US,2020-04-29 12:32:25,34.97403241,-80.09953279,23,0,0,23,Anson,37007,"Anson, North Carolina, US",94.0849218686084,,,84037007,USA
Nebraska,US,2020-04-29 12:32:25,42.17695516,-98.0666283,2,0,0,2,Antelope,31003,"Antelope, Nebraska, US",31.7561130517625,,,84031003,USA
Michigan,US,2020-04-29 12:32:25,44.99690221,-85.15503082,9,0,0,9,Antrim,26009,"Antrim, Michigan, US",38.5868633167553,,,84026009,USA
Arizona,US,2020-04-29 12:32:25,35.39465006,-109.4892383,380,5,0,375,Apache,4001,"Apache, Arizona, US",528.607397721424,,,84004001,USA
Iowa,US,2020-04-29 12:32:25,40.74324454,-92.86865906,2,2,0,0,Appanoose,19007,"Appanoose, Iowa, US",16.095284081764,,,84019007,USA
Georgia,US,2020-04-29 12:32:25,31.74847232,-82.28909114,65,5,0,60,Appling,13001,"Appling, Georgia, US",353.52985967584,,,84013001,USA
Virginia,US,2020-04-29 12:32:25,37.37569884,-78.81340003,17,0,0,17,Appomattox,51011,"Appomattox, Virginia, US",106.844321538558,,,84051011,USA
Texas,US,2020-04-29 12:32:25,28.10556197,-96.9995047,2,0,0,2,Aransas,48007,"Aransas, Texas, US",8.50701829008933,,,84048007,USA
Colorado,US,2020-04-29 12:32:25,39.64977461,-104.3353617,2312,136,0,2176,Arapahoe,8005,"Arapahoe, Colorado, US",352.122329002878,,,84008005,USA
Colorado,US,2020-04-29 12:32:25,37.19474156,-107.0476867,8,0,0,8,Archuleta,8007,"Archuleta, Colorado, US",57.0247344785801,,,84008007,USA
Michigan,US,2020-04-29 12:32:25,44.0636262,-83.89277559,18,1,0,17,Arenac,26011,"Arenac, Michigan, US",120.943358193913,,,84026011,USA
Arkansas,US,2020-04-29 12:32:25,34.29145151,-91.37277296,2,0,0,2,Arkansas,5001,"Arkansas, Arkansas, US",11.4377216058561,,,84005001,USA
Virginia,US,2020-04-29 12:32:25,38.8767675,-77.10139853,865,32,0,833,Arlington,51013,"Arlington, Virginia, US",365.222384543282,,,84051013,USA
Pennsylvania,US,2020-04-29 12:32:25,40.81665618,-79.46290811,50,2,0,48,Armstrong,42005,"Armstrong, Pennsylvania, US",77.2379701861435,,,84042005,USA
