ccaa,fecha,casos,ia,uci,muertes,nuevos,incrpercent,hospitalizados,hospitalizadosnuevos,ucinuevos,muertesnuevos,curados,curadosnuevos,postestrap,posasintomaticos,postotal,pcr,testrap
Andalucía,2020-03-02,12,,,,,,,,,,,,,,,,
Andalucía,2020-03-03,13,0.15,,,1,,,,,,,,,,,,
Andalucía,2020-03-04,13,0.15,1,,0,,,,,,,,,,,,
Andalucía,2020-03-05,12,0.14,1,0,-1,,,,0,,,,,,,,
Andalucía,2020-03-06,21,0.25,1,0,9,,,,0,0,,,,,,,
Andalucía,2020-03-07,32,0,,,17,,,,,,,,,,,,
Andalucía,2020-03-08,43,1,,,25,,,,,,,,,,,,
Andalucía,2020-03-09,54,0.64,1,0,33,,,,0,0,,,,,,,
Andalucía,2020-03-10,71,0.84,1,0,17,,,,0,0,,,,,,,
Andalucía,2020-03-11,90,1.07,3,0,19,,,,2,0,,,,,,,
Andalucía,2020-03-12,115,1.35,4,0,25,,,,1,0,,,,,,,
Andalucía,2020-03-13,219,2.53,8,0,104,,,,4,0,,,,,,,
Andalucía,2020-03-14,269,3.83,9,2,50,,,,,2,,,,,,,
Andalucía,2020-03-15,437,5.14,10,6,168,,,,,4,,,,,,,
Andalucía,2020-03-16,554,6.44,11,7,117,,,,,1,,,,,,,
Andalucía,2020-03-17,683,7.97,13,11,129,,,,2,4,,,,,,,
Andalucía,2020-03-18,859,10.07,21,19,176,,,,8,8,,,,,,,
Andalucía,2020-03-19,1008,11.84,25,23,149,,,,4,4,,,,,,,
Andalucía,2020-03-20,1287,15.05,38,30,279,,,,13,7,,,,,,,
Andalucía,2020-03-21,1515,17.68,53,40,228,,605,,15,10,,,,,,,
Andalucía,2020-03-22,1725,20.1,55,47,210,,724,119,2,7,,,,,,,
Andalucía,2020-03-23,1961,22.66,77,58,236,,865,141,22,11,50,,,,,,
Andalucía,2020-03-24,2471,28.52,102,87,510,,1132,267,25,29,66,16,,,,,
Andalucía,2020-03-25,3010,34.57,116,113,539,,1433,301,14,26,71,5,,,,,
Andalucía,2020-03-26,3406,38.96,134,134,396,,1626,193,18,21,77,6,,,,,
Andalucía,2020-03-27,3793,42.48,148,144,387,,1843,217,14,10,92,15,,,,,
Andalucía,2020-03-28,4277,47.63,172,175,484,,2106,263,24,31,139,47,,,,,
Andalucía,2020-03-29,4682,50.45,201,207,405,,2294,188,29,32,148,9,,,,,
Andalucía,2020-03-30,5405,57.65,216,236,723,,2671,377,15,29,155,7,,,,,
Andalucía,2020-03-31,5818,61.03,235,248,413,,2867,196,19,12,160,5,,,,,
Andalucía,2020-04-01,6392,65.76,260,308,574,,3147,280,25,60,182,22,,,,,
Andalucía,2020-04-02,6972,70.88,280,343,580,,3444,297,20,35,228,46,,,,,
Andalucía,2020-04-03,7374,72.34,338,376,402,,3673,229,58,33,258,30,,,,,
Andalucía,2020-04-04,7869,75.51,364,426,495,,3896,223,26,50,463,205,,,,,
Andalucía,2020-04-05,8301,78.15,474,470,432,,4107,211,110,44,665,202,,,,,
Andalucía,2020-04-06,8581,78.68,489,491,280,,4227,120,15,21,798,133,,,,,
Andalucía,2020-04-07,8767,74.83,499,528,186,,4335,108,10,37,900,102,,,,,
Andalucía,2020-04-08,8997,71.15,520,605,230,,4463,128,21,77,1041,141,,,,,
Andalucía,2020-04-09,9261,69.58,538,652,264,,4599,136,18,47,1193,152,,,,,
Andalucía,2020-04-10,9510,67.94,582,691,249,,4715,116,44,39,1437,244,,,,,
Andalucía,2020-04-11,9712,64.59,602,737,202,,4808,93,20,46,1630,193,,,,,
Andalucía,2020-04-12,10006,63.27,619,799,294,,4950,142,17,62,1838,208,,,,,
Andalucía,2020-04-13,10187,56.83,621,815,181,,4993,43,2,16,1967,129,,,,,
Andalucía,2020-04-14,10192,51.98,631,836,5,,5054,61,10,21,2032,65,,,,,
Andalucía,2020-04-15,10595,49.95,665,865,403,,5147,93,34,29,2224,192,,,,,
Andalucía,2020-04-16,10807,45.58,671,912,212,,5226,79,6,47,2634,410,,,,10592,215
Andalucía,2020-04-17,11053,43.72,675,940,246,,5298,72,4,28,2790,156,,,,10672,381
Andalucía,2020-04-18,11020,43.72,677,967,-33,,5341,43,2,27,2948,158,184,,11204,10772,248
Andalucía,2020-04-19,11205,34.51,687,993,185,,5424,83,10,26,3116,168,220,,11425,10936,269
Andalucía,2020-04-20,11323,32.59,690,1013,118,,5473,49,3,20,3229,113,232,,11555,11030,293
Andalucía,2020-04-21,11447,31.85,692,1017,124,,5509,36,2,4,3411,182,242,,11689,11139,308
Andalucía,2020-04-22,11610,31.05,696,1050,163,,5565,56,4,33,3569,158,311,,11921,11270,340
Andalucía,2020-04-23,11845,30.71,702,1079,235,,5616,51,6,29,3847,278,392,,12237,11403,442
Andalucía,2020-04-24,11536,24.08,714,1107,-309,,5675,59,12,28,3992,145,959,,12495,,
Andalucía,2020-04-25,11703,23.66,717,1131,167,1.4,5715,40,3,24,4295,303,1121,504,,,
Andalucía,2020-04-26,11774,21.01,716,1145,71,0.6,5748,33,-1,14,4741,446,,,,,
Andalucía,2020-04-27,11852,20.88,720,1.157,78,0.7,5768,20,4,-1143,4.89,-4736,,,,,
Andalucía,2020-04-28,11913,20.32,721,1168,61,0.5,5793,25,1,1166,5039,5034,,,,,
Andalucía,2020-04-29,12004,18.75,722,1188,91,0.8,5832,39,1,20,5272,233,,,,,
Aragón,2020-03-02,0,,,,,,,,,,,,,,,,
Aragón,2020-03-03,0,0,,,0,,,,,,,,,,,,
Aragón,2020-03-04,0,0,,,0,,,,,,,,,,,,
Aragón,2020-03-05,1,0.08,1,0,1,,,,,,,,,,,,
Aragón,2020-03-06,6,0.45,1,1,5,,,,0,1,,,,,,,
Aragón,2020-03-07,8,1,,,5.67,,,,,,,,,,,,
Aragón,2020-03-08,11,1,,,6.33,,,,,,,,,,,,
Aragón,2020-03-09,13,0.99,1,1,7,,,,0,0,,,,,,,
Aragón,2020-03-10,38,2.88,3,3,25,,,,2,2,,,,,,,
Aragón,2020-03-11,45,3.41,3,4,7,,,,0,1,,,,,,,
Aragón,2020-03-12,64,4.85,3,6,19,,,,0,2,,,,,,,
Aragón,2020-03-13,80,6.06,3,7,16,,,,0,1,,,,,,,
Aragón,2020-03-14,80,8.44,4,7,0,,,,,0,,,,,,,
Aragón,2020-03-15,147,10.81,6,7,67,,,,,0,,,,,,,
Aragón,2020-03-16,174,13.19,7,11,27,,,,,4,,,,,,,
Aragón,2020-03-17,207,15.69,9,12,33,,,,2,1,,,,,,,
Aragón,2020-03-18,226,17.13,9,13,19,,,,0,1,,,,,,,
Aragón,2020-03-19,281,21.22,14,15,55,,,,5,2,,,,,,,
Aragón,2020-03-20,360,26.83,28,17,79,,,,14,2,,,,,,,
Aragón,2020-03-21,424,31.3,33,22,64,,192,,5,5,,,,,,,
Aragón,2020-03-22,532,39.49,45,24,108,,241,49,12,2,,,,,,,
Aragón,2020-03-23,638,47.37,52,32,106,,298,57,7,8,3,,,,,,
Aragón,2020-03-24,758,54.57,66,37,120,,384,86,14,5,3,0,,,,,
Aragón,2020-03-25,907,65.09,75,40,149,,459,75,9,3,4,1,,,,,
Aragón,2020-03-26,1116,79.43,93,48,209,,562,103,18,8,4,0,,,,,
Aragón,2020-03-27,1338,95.35,114,58,222,,693,131,21,10,8,4,,,,,
Aragón,2020-03-28,1592,111.5,124,58,254,,835,142,10,0,8,0,,,,,
Aragón,2020-03-29,1858,129.69,124,93,266,,835,0,0,35,8,0,,,,,
Aragón,2020-03-30,2078,144.32,156,106,220,,1094,259,32,13,174,166,,,,,
Aragón,2020-03-31,2272,156.52,165,138,194,,1176,82,9,32,204,30,,,,,
Aragón,2020-04-01,2491,171.68,168,169,219,,1234,58,3,31,257,53,,,,,
Aragón,2020-04-02,2700,183.36,178,200,209,,1320,86,10,31,320,63,,,,,
Aragón,2020-04-03,2889,191.69,180,224,189,,1431,111,2,24,378,58,,,,,
Aragón,2020-04-04,3078,201.17,190,251,189,,1505,74,10,27,440,62,,,,,
Aragón,2020-04-05,3232,204.66,233,270,154,,1588,83,43,19,537,97,,,,,
Aragón,2020-04-06,3347,205.34,237,284,115,,1637,49,4,14,565,28,,,,,
Aragón,2020-04-07,3449,203.97,247,312,102,,1663,26,10,28,578,13,,,,,
Aragón,2020-04-08,3549,200.26,255,349,100,,1716,53,8,37,659,81,,,,,
Aragón,2020-04-09,3685,194.73,261,385,136,,1765,49,6,36,718,59,,,,,
Aragón,2020-04-10,3831,188.97,263,409,146,,1822,57,2,24,797,79,,,,,
Aragón,2020-04-11,3969,180.17,266,425,138,,1860,38,3,16,888,91,,,,,
Aragón,2020-04-12,4070,167.67,272,450,101,,1901,41,6,25,934,46,,,,,
Aragón,2020-04-13,4187,159.86,274,464,117,,1938,37,2,14,946,12,,,,,
Aragón,2020-04-14,4245,149.55,280,492,58,,1966,28,6,28,963,17,,,,,
Aragón,2020-04-15,4338,140,282,514,93,,2006,40,2,22,1012,49,,,,,
Aragón,2020-04-16,4566,141.44,291,543,228,,2108,102,9,29,1087,75,,,,4411,155
Aragón,2020-04-17,4664,134.54,240,562,98,,2151,43,-51,19,1132,45,,,,4489,175
Aragón,2020-04-18,4761,134.54,243,601,97,,2180,29,3,39,1121,-11,,,4761,4551,210
